empty_responses,explicit_abstention,repetitive_text,incomplete_sentences,potential_non_sequiturs,excessive_punctuation,model,method
0.5,0.36666666666666664,1.0999999999999999,29.333333333333332,20.566666666666666,0.06666666666666667,gpt2,cda_gender
0.33333333333333337,0.5,1.5333333333333332,41.4,20.766666666666666,0.0,gpt2,cda_race
0.4333333333333333,0.4,0.7666666666666666,34.36666666666667,22.2,0.06666666666666667,gpt2,cda_religion
0.0,1.4285714285714286,1.4285714285714286,87.14285714285714,21.428571428571427,0.0,gpt2,base
0.0,0.0,2.7027027027027026,83.78378378378379,18.91891891891892,0.0,gpt2,base
0.0,2.7,1.633333333333333,86.93333333333332,20.9,0.13333333333333333,gpt2,base
0.03333333333333333,3.9,7.966666666666667,85.73333333333333,23.1,0.26666666666666666,gpt2,inlp_race
0.03333333333333333,1.2666666666666666,19.8,88.03333333333333,14.266666666666666,1.0,gpt2,inlp
0.0,2.5,2.8666666666666667,85.8,19.5,0.06666666666666667,gpt2,instructive
0.2,0.4333333333333333,0.23333333333333336,46.56666666666667,20.533333333333335,6.866666666666667,llama2-7b,cda_gender
0.2,0.5,0.16666666666666669,46.233333333333334,20.0,5.966666666666667,llama2-7b,cda_race
0.13333333333333333,0.5666666666666667,0.23333333333333336,43.6,21.166666666666668,6.666666666666667,llama2-7b,cda_religion
0.26666666666666666,0.33333333333333337,0.13333333333333333,35.66666666666667,20.833333333333336,0.03333333333333333,phi2,cda_gender
0.13333333333333333,0.46666666666666673,0.33333333333333337,39.03333333333333,21.3,0.13333333333333333,phi2,cda_race
0.16666666666666669,0.33333333333333337,0.13333333333333333,38.86666666666667,21.366666666666667,0.0,phi2,cda_religion
1.1333333333333333,0.8999999999999999,1.4666666666666666,80.86666666666666,12.4,0.06666666666666667,gpt2,self
0.0,2.3333333333333335,21.8,87.3,22.233333333333334,1.4000000000000001,gpt2,sentence_race
0.0,0.0,94.89999999999999,98.66666666666667,12.433333333333334,0.03333333333333333,gpt2,sentence
0.0,1.2666666666666666,0.5,90.66666666666666,19.633333333333333,0.26666666666666666,llama2-7b,base
0.03333333333333333,0.9333333333333335,0.7000000000000001,91.13333333333333,19.833333333333332,0.03333333333333333,phi2,base
0.0,0.8666666666666666,1.9333333333333333,93.83333333333333,22.166666666666668,0.03333333333333333,gpt2,dropout
0.0,0.8,0.16666666666666669,94.03333333333333,20.033333333333335,9.933333333333334,llama2-7b,dropout
0.0,0.7000000000000001,0.4,93.93333333333334,21.099999999999998,0.16666666666666669,phi2,dropout
0.0,1.7666666666666668,0.33333333333333337,91.43333333333334,19.566666666666666,0.23333333333333336,llama2-7b,instructive
100.0,0.0,0.0,100.0,0.0,0.0,phi2,instructive
0.0,2.033333333333333,0.33333333333333337,92.10000000000001,19.833333333333332,0.23333333333333336,llama2-7b,self
0.03333333333333333,0.9666666666666667,1.0999999999999999,91.60000000000001,19.966666666666665,0.1,phi2,self
